Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Length,Width,Depth,Price,Data Url
1769563,EMERALD,0.3,5,15,5,4,3,0,4.72,3.11,2.08,860.24,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-266/
1799923,EMERALD,0.32,5,13,5,3,3,0,4.47,3.42,2.24,862.05,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-92/
1765003,EMERALD,0.35,8,12,5,4,5,0,4.71,3.35,2.28,881.66,https://capitalwholesalediamonds.com/product/0-35-ct-emerald-26/
1787853,EMERALD,0.36,5,15,4,3,3,1,5.26,3.3,2.04,881.91,https://capitalwholesalediamonds.com/product/0-36-ct-emerald-10/
1771243,EMERALD,0.3,6,14,5,5,3,0,4.48,3.29,2.15,883.04,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-309/
1756434,EMERALD,0.3,6,16,4,4,3,0,4.37,3.25,2.26,883.55,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-137/
1783759,EMERALD,0.4,5,11,4,4,4,0,4.84,3.62,2.49,884.26,https://capitalwholesalediamonds.com/product/0-4-ct-emerald-355/
1715439,EMERALD,0.5,5,10,5,5,4,1,5.24,3.84,2.62,885.61,https://capitalwholesalediamonds.com/product/0-5-ct-emerald-1092/
1765019,EMERALD,0.3,6,17,3,4,4,0,4.35,3.29,2.19,885.64,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-496/
1786549,EMERALD,0.31,5,17,4,5,3,3,4.8,3.28,2,886,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-236/
1638195,EMERALD,0.52,5,9,5,5,4,1,5.64,3.67,2.5,887.08,https://capitalwholesalediamonds.com/product/0-52-ct-emerald-48/
1799918,EMERALD,0.3,5,16,4,5,4,1,4.5,3.38,2.18,887.1,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-151/
1743069,EMERALD,0.3,7,15,4,5,3,0,4.23,3.2,2.19,887.11,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-213/
1778538,EMERALD,0.3,5,16,5,5,3,0,4.81,3.21,2.03,887.59,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-150/
1799868,EMERALD,0.3,7,14,5,3,3,1,4.43,3.37,2.14,887.64,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-289/
1732906,EMERALD,0.4,4,14,5,5,4,0,5.22,3.49,2.28,887.67,https://capitalwholesalediamonds.com/product/0-4-ct-emerald-263/
1799922,EMERALD,0.3,5,14,4,5,3,0,4.41,3.25,2.22,888.1,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-317/
1772567,EMERALD,0.3,5,17,5,4,4,0,4.72,3.33,2.03,888.15,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-532/
1546924,EMERALD,0.53,4,11,5,5,4,0,5.89,3.78,2.42,888.34,https://capitalwholesalediamonds.com/product/0-53-ct-emerald-44/
1775248,EMERALD,0.3,6,15,4,4,3,0,4.67,3.16,2.14,888.67,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-231/
1746072,EMERALD,0.32,8,13,5,5,4,0,4.54,3.35,2.24,890.17,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-87/
1775251,EMERALD,0.3,6,14,5,4,4,1,4.68,3.23,2.12,890.66,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-310/
1749137,EMERALD,0.3,7,15,5,3,3,0,4.89,3.21,2.09,892.67,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-226/
1791063,EMERALD,0.3,5,17,5,5,4,2,4.44,3.27,2.2,893.23,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-523/
1783809,EMERALD,0.3,5,15,5,4,4,0,4.54,3.29,2.08,893.71,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-267/
1800684,EMERALD,0.3,6,14,5,4,2,0,4.14,3.34,2.34,895.21,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-297/
1800683,EMERALD,0.3,6,14,5,3,2,0,4.33,3.24,2.3,895.21,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-301/
1783810,EMERALD,0.31,5,14,4,5,4,0,4.62,3.41,2.04,895.43,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-139/
1747056,EMERALD,0.3,6,14,5,5,4,0,4.48,3.31,2.23,895.7,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-302/
1777434,EMERALD,0.3,6,14,5,4,3,0,4.4,3.24,2.2,895.7,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-308/
1769554,EMERALD,0.3,6,17,3,5,4,0,4.24,3.19,2.27,895.75,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-497/
1800673,EMERALD,0.3,6,17,4,4,2,1,4.65,3.12,2.08,895.75,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-509/
1773501,EMERALD,0.3,7,15,4,4,3,0,4.73,3.15,2.07,896.24,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-208/
1773508,EMERALD,0.3,6,15,4,4,3,0,4.61,3.37,2.15,896.76,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-235/
1781322,EMERALD,0.3,7,15,3,5,3,0,4.38,3.11,2.23,896.78,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-214/
1800666,EMERALD,0.31,7,13,5,5,3,0,4.74,3.08,2.11,897.02,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-147/
1799894,EMERALD,0.31,6,15,5,1,2,2,4.77,3.27,2.14,897.05,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-113/
1746049,EMERALD,0.71,4,9,5,5,5,1,6.23,4.11,2.8,897.22,https://capitalwholesalediamonds.com/product/0-71-ct-emerald-64/
1799920,EMERALD,0.3,5,15,4,4,4,0,4.44,3.3,2.13,897.27,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-269/
1775250,EMERALD,0.3,6,14,4,4,3,0,4.49,3.29,2.24,897.73,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-299/
1765013,EMERALD,0.3,7,16,4,5,3,0,4.41,3.31,2.2,897.78,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-93/
1787838,EMERALD,0.3,7,15,4,4,4,0,4.88,3.25,2.18,934.76,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-191/
1783791,EMERALD,0.3,7,15,4,5,3,0,4.37,3.25,2.24,934.76,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-207/
1786544,EMERALD,0.3,7,15,4,4,3,0,4.56,3.34,2.18,934.76,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-212/
1783802,EMERALD,0.3,6,15,5,4,3,0,4.46,3.29,2.16,934.77,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-229/
1785101,EMERALD,0.3,7,14,4,5,3,0,4.69,3.12,2.03,934.77,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-282/
1772565,EMERALD,0.3,6,15,5,5,4,1,4.51,3.32,2.18,936.33,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-239/
1777431,EMERALD,0.31,6,15,4,5,3,0,4.5,3.39,2.28,936.33,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-117/
1793125,EMERALD,0.31,6,16,3,4,3,0,4.93,3.15,2.01,936.34,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-76/
1773493,EMERALD,0.3,8,16,5,3,3,0,4.77,3.09,2.08,937.27,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-34/
1761618,EMERALD,0.3,6,17,5,4,3,0,4.58,3.54,2.23,937.36,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-491/
1799890,EMERALD,0.3,6,16,4,4,2,0,4.59,3.11,2.16,937.85,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-145/
1800660,EMERALD,0.3,7,15,4,5,3,0,4.57,3.28,2.05,937.85,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-219/
1791766,EMERALD,0.29,7,17,3,4,4,1,4.54,3.15,2.12,937.92,https://capitalwholesalediamonds.com/product/0-29-ct-emerald-9/
1756433,EMERALD,0.31,6,17,5,4,4,1,4.59,3.23,2.16,937.93,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-225/
1799897,EMERALD,0.3,6,15,5,5,4,2,4.66,3.21,2.11,938.32,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-236/
1800665,EMERALD,0.3,7,14,4,4,3,0,4.36,3.28,2.22,938.32,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-293/
1779822,EMERALD,0.32,5,17,5,5,4,1,4.57,3.46,2.18,938.34,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-151/
1800681,EMERALD,0.31,6,14,5,3,3,0,4.76,3.18,2.23,938.42,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-137/
1795789,EMERALD,0.31,7,13,5,4,3,0,4.63,3.41,2.19,938.42,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-148/
1800667,EMERALD,0.31,7,13,4,5,3,0,4.44,3.27,2.26,938.42,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-149/
1763932,EMERALD,0.31,6,17,5,5,3,0,4.5,3.33,2.18,938.42,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-221/
1778527,EMERALD,0.3,7,16,4,4,3,0,4.54,3.31,2.19,938.81,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-102/
1785103,EMERALD,0.3,7,13,5,5,4,0,4.63,3.27,2.15,938.86,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-333/
1777427,EMERALD,0.3,7,14,5,4,3,0,4.85,3.18,1.99,939.35,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-287/
1750240,EMERALD,0.32,7,14,4,4,3,0,5.01,3.19,2.02,939.44,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-79/
1771216,EMERALD,0.31,7,16,4,5,3,0,4.44,3.45,2.21,939.52,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-45/
1763924,EMERALD,0.3,7,16,5,5,3,0,4.55,3.36,2.18,939.88,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-81/
1775243,EMERALD,0.3,6,17,5,5,3,0,4.55,3.38,2.12,939.88,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-514/
1779812,EMERALD,0.3,7,16,4,3,3,0,4.53,3.34,2.21,940.35,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-76/
1732911,EMERALD,0.3,7,16,5,5,4,0,5.02,3.08,2.01,940.35,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-84/
1761578,EMERALD,0.51,6,9,5,5,4,0,5.53,3.81,2.57,940.47,https://capitalwholesalediamonds.com/product/0-51-ct-emerald-363/
1791052,EMERALD,0.31,6,17,5,4,3,2,4.68,3.28,2.15,941.03,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-231/
1763921,EMERALD,0.3,7,17,5,5,4,1,4.9,3.14,2.05,941.33,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-464/
1773504,EMERALD,0.31,6,17,4,5,3,0,4.53,3.36,2.27,941.62,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-213/
1798514,EMERALD,0.4,9,10,4,5,3,0,5.02,3.61,2.35,941.7,https://capitalwholesalediamonds.com/product/0-4-ct-emerald-356/
1798528,EMERALD,0.4,8,10,5,5,4,0,4.84,3.65,2.46,941.74,https://capitalwholesalediamonds.com/product/0-4-ct-emerald-357/
1767881,EMERALD,0.3,6,16,5,5,3,0,4.71,3.13,2.11,941.87,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-131/
1771181,EMERALD,0.3,10,13,4,4,4,0,4.93,3.14,1.92,941.89,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-319/
1765015,EMERALD,0.31,7,14,5,4,3,0,4.39,3.25,2.21,942.11,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-134/
1797261,EMERALD,0.32,6,15,5,3,3,2,4.34,3.28,2.29,942.11,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-74/
1789868,EMERALD,0.3,7,17,3,4,3,0,4.96,3.09,2.09,942.34,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-430/
1789870,EMERALD,0.3,7,17,5,4,4,2,4.75,3.13,2.04,942.34,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-459/
1791041,EMERALD,0.3,7,17,3,5,3,0,4.34,3.36,2.18,942.34,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-466/
1779819,EMERALD,0.3,6,16,3,5,4,0,4.51,3.08,2.19,942.41,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-112/
1800655,EMERALD,0.3,7,16,3,4,4,0,4.36,3.3,2.32,942.85,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-73/
1800654,EMERALD,0.3,7,16,4,4,3,0,4.42,3.33,2.07,942.85,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-77/
1799850,EMERALD,0.3,7,16,4,4,2,0,4.33,3.26,2.28,942.85,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-86/
1800671,EMERALD,0.3,6,17,4,5,3,0,4.8,3.17,2.13,942.85,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-494/
